date,time,A_B,A_C,A_D,B_A,B_C,B_D,C_A,C_B,C_D,D_A,D_B,D_C
0001-01-21,0,0.9375,0.722222222222222,0.565217391304348,0.375,0.1875,0.8,0.333333333333333,0.625,0.75,0.217391304347826,0.05,0.8125
0002-01-21,1,0.75,0.833333333333333,0.0434782608695652,0.8125,0.5,0.05,0.333333333333333,0.5,0.5,0.0434782608695652,0.4,0.625
0003-01-21,2,0.625,0.111111111111111,0.130434782608696,0.8125,0.6875,0.4,0.0555555555555556,0.5,0.5625,0.652173913043478,0.55,0.625
0004-01-21,3,0.875,0.333333333333333,0.130434782608696,0.3125,0.25,0.75,0.0555555555555556,0.25,0.9375,1,0.1,0.875
0005-01-21,4,0.5,0.944444444444444,0.652173913043478,0.5625,0.9375,0.3,0.277777777777778,0.5,0.8125,0.217391304347826,0.55,0.1875
0006-01-21,5,0,0.277777777777778,0.260869565217391,0.6875,0.3125,0.5,0.555555555555556,0.3125,0.1875,0.869565217391304,0.4,0.6875
0007-01-21,6,0.6875,0.611111111111111,0.869565217391304,0.5,0.5625,0.4,0.333333333333333,0.125,0.375,0.130434782608696,0.85,0.75
0008-01-21,7,0.375,0.888888888888889,1,0.625,0,0.85,0.5,0.6875,0.625,0.782608695652174,0.65,0.3125
0009-01-21,8,0.0625,0.333333333333333,0.91304347826087,0.625,0.5625,0.6,0.166666666666667,0.125,0.1875,0.0869565217391304,0.45,0.5
0010-01-21,9,0.9375,0.611111111111111,0.652173913043478,0.3125,0.6875,0.55,0.444444444444444,0.375,0.75,0.652173913043478,0.2,0.0625
0011-01-21,10,0.1875,0.111111111111111,0.217391304347826,0.5,0.5,0.9,0.333333333333333,0.9375,0.4375,0.565217391304348,0.55,0.5625
0012-01-21,11,0.8125,0.166666666666667,0.739130434782609,0.1875,0.4375,0.55,0.444444444444444,0.0625,0.4375,0.869565217391304,0.95,1
0013-01-21,12,0.375,1,0.434782608695652,0.25,1,0.8,0,0.875,0.375,0.565217391304348,0.4,1
0014-01-21,13,0.375,0.277777777777778,0.0434782608695652,0.625,0.6875,0.05,0.277777777777778,0.3125,0.375,0.304347826086957,0.15,0.5625
0015-01-21,14,0,0.388888888888889,0.739130434782609,0.6875,0.875,0.1,0.666666666666667,0.3125,0.75,0.565217391304348,0.05,0.1875
0016-01-21,15,0.9375,0.277777777777778,0.391304347826087,0.625,0.875,0.35,0.722222222222222,0.9375,0.75,0.130434782608696,0.85,0.0625
0017-01-21,16,0.3125,1,0.0869565217391304,0.3125,0.625,0.7,0.166666666666667,0.6875,0.8125,0.217391304347826,0.65,0.1875
0018-01-21,17,0.0625,0.166666666666667,0.652173913043478,0.3125,0.25,0.5,0,0.4375,0.9375,0.0434782608695652,0.55,0.5625
0019-01-21,18,0.0625,0.722222222222222,0.347826086956522,0.5,0,0.8,0.444444444444444,0.25,0.125,0.782608695652174,0.05,0.125
0020-01-21,19,0.125,0.5,0.565217391304348,1,0.125,0.05,0.722222222222222,0.375,0.5,0.695652173913043,0.15,0.1875
0021-01-21,20,0.125,0.833333333333333,0.869565217391304,0.875,0.9375,0.85,0.0555555555555556,0.5625,0.5625,0.434782608695652,0.4,0.4375
0022-01-21,21,0.8125,0.777777777777778,0.130434782608696,0.75,0.8125,0.55,0.555555555555556,0.3125,0.5,0.91304347826087,0.8,0.0625
0023-01-21,22,0.25,0.833333333333333,0.347826086956522,0,0.8125,0.05,0.611111111111111,0.5,0.5,0.0869565217391304,1,0.375
0024-01-21,23,0.0625,0.555555555555556,0.956521739130435,0.75,0.875,0.15,0,0.625,0.875,0.652173913043478,0.45,0.6875
